,open,high,low,close,volume
2024-12-11 19:59:00,246.3900,246.4800,246.3700,246.3800,713
2024-12-11 19:58:00,246.4100,246.4100,246.3600,246.3900,104
2024-12-11 19:57:00,246.4100,246.4100,246.3600,246.3850,297
2024-12-11 19:56:00,246.4001,246.4100,246.4000,246.4099,233
2024-12-11 19:55:00,246.4050,246.4100,246.4000,246.4002,192
2024-12-11 19:54:00,246.4100,246.4200,246.4000,246.4100,49
2024-12-11 19:53:00,246.3600,246.4200,246.3600,246.4100,33
2024-12-11 19:52:00,246.3700,246.4800,246.3600,246.3700,351
2024-12-11 19:51:00,246.3800,246.4000,246.3600,246.3800,423
2024-12-11 19:50:00,246.4000,246.4000,246.3800,246.3998,133
2024-12-11 19:49:00,246.3800,246.4000,246.3700,246.3800,255
2024-12-11 19:48:00,246.3600,246.4000,246.3600,246.3850,222
2024-12-11 19:47:00,246.4200,246.4200,246.3600,246.3700,701
2024-12-11 19:46:00,246.3600,246.4700,246.3600,246.3900,76
2024-12-11 19:45:00,246.3900,246.4200,246.3600,246.3600,1749
2024-12-11 19:44:00,246.3600,246.4676,246.3600,246.3600,1640
2024-12-11 19:43:00,246.4200,246.4700,246.2600,246.3500,840
2024-12-11 19:42:00,246.4100,246.4700,246.3600,246.4150,50
2024-12-11 19:41:00,246.3600,246.4700,246.3600,246.4150,41
2024-12-11 19:40:00,246.4200,246.4700,246.3600,246.4700,161
2024-12-11 19:39:00,246.3600,246.4700,246.3600,246.4150,367
2024-12-11 19:38:00,246.3900,246.4800,246.3600,246.3700,345
2024-12-11 19:37:00,246.4350,246.4800,246.4100,246.4800,124
2024-12-11 19:36:00,246.4350,246.4800,246.3900,246.4350,57
2024-12-11 19:35:00,246.4400,246.4800,246.3900,246.4350,174
2024-12-11 19:34:00,246.4900,246.4900,246.4300,246.4400,21
2024-12-11 19:33:00,246.4250,246.4900,246.3600,246.4900,291
2024-12-11 19:32:00,246.3700,246.4900,246.3600,246.4900,330
2024-12-11 19:31:00,246.3700,246.4900,246.3600,246.4250,535
2024-12-11 19:30:00,246.4000,246.4900,246.3600,246.3800,379
2024-12-11 19:29:00,246.4900,246.4900,246.3800,246.3800,32
2024-12-11 19:28:00,246.3800,246.4900,246.3800,246.4350,419
2024-12-11 19:27:00,246.4000,246.4000,246.3800,246.4000,114
2024-12-11 19:26:00,246.4500,246.4900,246.3800,246.3900,100
2024-12-11 19:25:00,246.4300,246.4900,246.3600,246.4900,97
2024-12-11 19:24:00,246.3600,246.4300,246.3600,246.4300,515
2024-12-11 19:23:00,246.4900,246.4900,246.3950,246.4000,843
2024-12-11 19:22:00,246.4200,246.4900,246.4200,246.4900,1610
2024-12-11 19:21:00,246.4300,246.4900,246.4200,246.4200,2058
2024-12-11 19:20:00,246.4833,246.4900,246.4000,246.4700,254
2024-12-11 19:19:00,246.3900,246.4900,246.3610,246.4250,2094
2024-12-11 19:18:00,246.4000,246.4000,246.3700,246.3800,269
2024-12-11 19:17:00,246.3800,246.4000,246.3800,246.3800,57
2024-12-11 19:16:00,246.3800,246.4000,246.3600,246.3800,431
2024-12-11 19:15:00,246.4000,246.4000,246.3600,246.3700,1074
2024-12-11 19:14:00,246.3800,246.4000,246.3800,246.4000,330
2024-12-11 19:13:00,246.4000,246.4050,246.3610,246.3800,65
2024-12-11 19:12:00,246.4050,246.4500,246.3600,246.4050,80
2024-12-11 19:11:00,246.3600,246.4500,246.3600,246.3850,1964
2024-12-11 19:10:00,246.4100,246.4300,246.3600,246.3600,463
2024-12-11 19:09:00,246.3900,246.4200,246.3600,246.4200,646
2024-12-11 19:08:00,246.3600,246.3900,246.3600,246.3900,1362
2024-12-11 19:07:00,246.3900,246.4700,246.3600,246.4150,1897
2024-12-11 19:06:00,246.4400,246.5200,246.3600,246.4250,1069
2024-12-11 19:05:00,246.4900,246.4900,246.3600,246.4600,937
2024-12-11 19:04:00,246.4500,246.5100,246.4050,246.4896,2176
2024-12-11 19:03:00,246.5900,246.5900,246.4500,246.4500,75
2024-12-11 19:02:00,246.5900,246.5900,246.4500,246.5200,617
2024-12-11 19:01:00,246.5200,246.5900,246.4500,246.4700,63
2024-12-11 19:00:00,246.5200,246.5900,246.4800,246.5500,99
2024-12-11 18:59:00,246.5000,246.5900,246.4000,246.5200,477
2024-12-11 18:58:00,246.4700,246.5900,246.4000,246.4950,84
2024-12-11 18:57:00,246.4950,246.5400,246.4000,246.5000,3643
2024-12-11 18:56:00,246.5200,246.5500,246.4500,246.4500,1611
2024-12-11 18:55:00,246.5350,246.5900,246.4700,246.4700,365
2024-12-11 18:54:00,246.5350,246.5900,246.4800,246.5350,274
2024-12-11 18:53:00,246.5350,246.5900,246.4800,246.5900,157
2024-12-11 18:52:00,246.5400,246.5400,246.4800,246.5350,12
2024-12-11 18:51:00,246.4800,246.5900,246.4800,246.5350,66
2024-12-11 18:50:00,246.5300,246.5500,246.4800,246.5250,119
2024-12-11 18:49:00,246.5300,246.6000,246.5100,246.5250,51
2024-12-11 18:48:00,246.5300,246.6000,246.4700,246.6000,91
2024-12-11 18:47:00,246.5300,246.6000,246.4630,246.4638,188
2024-12-11 18:46:00,246.4700,246.6000,246.4500,246.5300,176
2024-12-11 18:45:00,246.5250,246.6000,246.4500,246.4700,242
2024-12-11 18:44:00,246.5500,246.6000,246.4500,246.5250,1190
2024-12-11 18:43:00,246.5500,246.6000,246.5000,246.5500,288
2024-12-11 18:42:00,246.5150,246.6000,246.5000,246.5500,105
2024-12-11 18:41:00,246.5500,246.6000,246.5000,246.5150,198
2024-12-11 18:40:00,246.5000,246.6000,246.5000,246.5500,230
2024-12-11 18:39:00,246.5650,246.6000,246.3100,246.4500,3319
2024-12-11 18:38:00,246.5550,246.6000,246.5100,246.5550,215
2024-12-11 18:37:00,246.6300,246.6300,246.5313,246.5313,1702
2024-12-11 18:36:00,246.6900,246.6900,246.6300,246.6500,196
2024-12-11 18:35:00,246.6900,246.6900,246.6000,246.6500,31
2024-12-11 18:34:00,246.6400,246.6900,246.6000,246.6900,71
2024-12-11 18:33:00,246.6300,246.6900,246.5700,246.6300,96
2024-12-11 18:32:00,246.6300,246.6900,246.5700,246.6900,291
2024-12-11 18:31:00,246.6200,246.6900,246.5500,246.6300,200
2024-12-11 18:30:00,246.6200,246.6900,246.5500,246.5500,160
2024-12-11 18:29:00,246.5500,246.6900,246.5500,246.6500,87
2024-12-11 18:28:00,246.6500,246.6900,246.5697,246.6200,1781
2024-12-11 18:27:00,246.6600,246.6900,246.6100,246.6500,478
2024-12-11 18:26:00,246.6800,246.7100,246.3900,246.6600,1004
2024-12-11 18:25:00,246.6800,246.7400,246.6200,246.6800,23
2024-12-11 18:24:00,246.6950,246.7400,246.6200,246.6800,473
2024-12-11 18:23:00,246.7000,246.7500,246.6400,246.7500,1330
2024-12-11 18:22:00,246.7600,246.8200,246.7000,246.8170,402
2024-12-11 18:21:00,246.7300,246.8200,246.7000,246.7600,377
2024-12-11 18:20:00,246.7300,246.8200,246.7000,246.7200,1631
